table,column,type,description,notes
summaries_2024,orcid_identifier.path,STRING,"16-char ORCID iD (e.g. 0000-0002-1825-0097)","primary key"
summaries_2024,orcid_identifier.uri,STRING,"full URL form: https://orcid.org/<path>",
summaries_2024,preferences.locale,STRING,"user preferred locale (e.g. en)",
summaries_2024,history.creation_method,STRING,"how the record was created (WEBSITE / API / etc.)",
summaries_2024,history.submission_date,STRING,"ISO-like string; CAST or EXTRACT via TIMESTAMP()",
summaries_2024,history.last_modified_date,STRING,"ISO-like string",
summaries_2024,history.deactivation_date,STRING,"NULL for active accounts",
summaries_2024,history.claimed,BOOLEAN,"whether the record has been claimed by its owner",
summaries_2024,history.verified_email,BOOLEAN,"any email verified",
summaries_2024,history.verified_primary_email,BOOLEAN,"primary email verified",
summaries_2024,person.name.given_names,STRING,"given name(s)",
summaries_2024,person.name.family_name,STRING,"family name",
summaries_2024,person.name.credit_name,STRING,"preferred citation name",
summaries_2024,person.name.visibility,STRING,"public / limited / private",
summaries_2024,person.biography.content,STRING,"free-text biography",
summaries_2024,person.biography.visibility,STRING,"public / limited / private",
summaries_2024,person.researcher_urls.urls,RECORD REPEATED,"array of {url_name, url, visibility}","UNNEST"
summaries_2024,person.researcher_urls.urls.url,STRING,"the URL string",
summaries_2024,person.researcher_urls.urls.url_name,STRING,"label given by the researcher",
summaries_2024,person.emails.emails,RECORD REPEATED,"array of {email, visibility, verified}","UNNEST"
summaries_2024,person.emails.emails.email,STRING,"email address",
summaries_2024,person.emails.emails.visibility,STRING,"public / limited / private",
summaries_2024,person.addresses.addresses,RECORD REPEATED,"array of ISO country codes","UNNEST"
summaries_2024,person.addresses.addresses.country,STRING,"ISO 3166-1 alpha-2 code",
summaries_2024,person.addresses.addresses.visibility,STRING,"public / limited / private",
summaries_2024,person.keywords.keywords,RECORD REPEATED,"array of self-declared research keywords","UNNEST"
summaries_2024,person.keywords.keywords.content,STRING,"the keyword text",
summaries_2024,person.external_identifiers.identifiers,RECORD REPEATED,"array of {type, value, url}","e.g. Scopus Author ID, ResearcherID"
summaries_2024,person.external_identifiers.identifiers.type,STRING,"identifier type (scopus author id / researcherid / etc.)",
summaries_2024,person.external_identifiers.identifiers.value,STRING,"the identifier value",
summaries_2024,activities.educations.groups,RECORD REPEATED,"education entries; UNNEST(groups) then UNNEST(groups.records)","see UNNEST pattern"
summaries_2024,activities.educations.groups.records.department_name,STRING,"department / faculty",
summaries_2024,activities.educations.groups.records.role_title,STRING,"degree or program (PhD / MSc / ...)",
summaries_2024,activities.educations.groups.records.start_date.year,STRING,"year as STRING; SAFE_CAST to INT64",
summaries_2024,activities.educations.groups.records.end_date.year,STRING,"NULL = ongoing (or unspecified)",
summaries_2024,activities.educations.groups.records.organization.name,STRING,"raw org name",
summaries_2024,activities.educations.groups.records.organization.address.country,STRING,"ISO country code",
summaries_2024,activities.educations.groups.records.organization.disambiguated_organization.identifier,STRING,"ROR / RINGGOLD / FUNDREF / GRID id value",
summaries_2024,activities.educations.groups.records.organization.disambiguated_organization.source,STRING,"which registry: ROR / RINGGOLD / FUNDREF / GRID",
summaries_2024,activities.employments.groups,RECORD REPEATED,"employment entries","primary source for talent-mobility work"
summaries_2024,activities.employments.groups.records.department_name,STRING,"",
summaries_2024,activities.employments.groups.records.role_title,STRING,"job title",
summaries_2024,activities.employments.groups.records.start_date.year,STRING,"STRING; SAFE_CAST",
summaries_2024,activities.employments.groups.records.end_date.year,STRING,"NULL = current",
summaries_2024,activities.employments.groups.records.organization.name,STRING,"raw org name",
summaries_2024,activities.employments.groups.records.organization.address.city,STRING,"",
summaries_2024,activities.employments.groups.records.organization.address.region,STRING,"state/province",
summaries_2024,activities.employments.groups.records.organization.address.country,STRING,"ISO country code",
summaries_2024,activities.employments.groups.records.organization.disambiguated_organization.identifier,STRING,"ROR ID value (preferred)",
summaries_2024,activities.employments.groups.records.organization.disambiguated_organization.source,STRING,"ROR / RINGGOLD / FUNDREF / GRID",
summaries_2024,activities.employments.groups.records.url,STRING,"URL for the affiliation",
summaries_2024,activities.employments.groups.records.visibility,STRING,"public / limited / private",
summaries_2024,activities.fundings.groups,RECORD REPEATED,"grants / awards",
summaries_2024,activities.fundings.groups.records.title.title,STRING,"grant title",
summaries_2024,activities.fundings.groups.records.type,STRING,"grant / award / contract / salary_award / ...",
summaries_2024,activities.fundings.groups.records.organization.name,STRING,"funding agency name",
summaries_2024,activities.fundings.groups.records.organization.disambiguated_organization.identifier,STRING,"FUNDREF preferred",
summaries_2024,activities.works.groups,RECORD REPEATED,"claimed publications","not the full metadata — use identifiers to join to Crossref/OpenAlex"
summaries_2024,activities.works.groups.records.type,STRING,"journal-article / book / conference-paper / ...",
summaries_2024,activities.works.groups.records.title.title,STRING,"",
summaries_2024,activities.works.groups.records.publication_date.year,STRING,"",
summaries_2024,activities.works.groups.external_ids.identifiers.type,STRING,"doi / pmid / eid / wosuid / ...",
summaries_2024,activities.works.groups.external_ids.identifiers.value,STRING,"the DOI / PMID / etc.",
summaries_2024,activities.peer_reviews.groups.groups.records,RECORD REPEATED,"note the double .groups.groups here","upstream schema quirk"
summaries_2024,activities.peer_reviews.groups.groups.records.reviewer_role,STRING,"reviewer / etc.",
summaries_2024,activities.peer_reviews.groups.groups.records.review_type,STRING,"review / evaluation",
summaries_2024,activities.peer_reviews.groups.groups.records.convening_organization.name,STRING,"publisher / society",
summaries_2024,activities.invited_positions.records.records,RECORD REPEATED,"note .records.records (not .groups)","upstream schema quirk"
summaries_2024,activities.invited_positions.records.records.role_title,STRING,"visiting professor / etc.",
summaries_2024,activities.invited_positions.records.records.organization.name,STRING,"host org",
summaries_2024,activities.memberships.groups.records.role_title,STRING,"membership title",
summaries_2024,activities.memberships.groups.records.organization.name,STRING,"society / body name",
summaries_2024,activities.qualifications.groups.records.role_title,STRING,"certification / degree",
summaries_2024,activities.services.groups.records.role_title,STRING,"service role (editor / chair / ...)",
summaries_2024,activities.research_resources.groups.records.proposal.title.title,STRING,"beam-time / facility proposal title",
